seq,timestamp_ms,ax,ay,az,gx,gy,gz
604,143005,3475,5628,-4761,-2,-1,4
605,143015,3482,5625,-4754,-4,-4,5
606,143026,3477,5626,-4741,-5,-3,4
607,143039,3435,5636,-4719,-3,-3,2
608,143049,3404,5634,-4708,0,-3,1
609,143071,3383,5669,-4756,1,-1,3
610,143100,3451,5602,-4725,-9,3,10
611,143120,3439,5643,-4727,1,2,4
612,143132,3416,5617,-4714,4,2,8
613,143143,3463,5622,-4730,12,2,8
614,143153,3457,5646,-4736,6,2,3
615,143164,3416,5668,-4745,3,2,4
616,143183,3437,5620,-4727,-1,3,7
617,143196,3441,5637,-4734,-1,5,6
618,143210,3438,5643,-4749,1,4,3
619,143237,3417,5624,-4718,3,6,6
620,143251,3421,5617,-4738,8,5,6
621,143260,3446,5631,-4773,7,4,5
622,143270,3437,5648,-4774,-2,4,3
623,143282,3424,5641,-4746,-5,4,3
